Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 06:00,WEST,61752,12.37,0.15,0
02/01/2020 07:00,CAPITL,61757,14.92,1.02,-0.34
02/01/2020 07:00,CENTRL,61754,13.87,0.27,-0.04
02/01/2020 07:00,DUNWOD,61760,15.22,1.41,-0.25
02/01/2020 07:00,GENESE,61753,13.54,-0.05,-0.03
02/01/2020 07:00,H Q,61844,13.14,-0.42,0
02/01/2020 07:00,HUD VL,61758,15,1.19,-0.25
02/01/2020 07:00,LONGIL,61762,23,1.97,-7.47
02/01/2020 07:00,MHK VL,61756,14.01,0.41,-0.05
02/01/2020 07:00,MILLWD,61759,15.14,1.33,-0.25
02/01/2020 07:00,N.Y.C.,61761,15.41,1.6,-0.26
02/01/2020 07:00,NORTH,61755,13.06,-0.5,0
02/01/2020 07:00,NPX,61845,17.31,1.3,-2.45
02/01/2020 07:00,O H,61846,13.26,-0.34,-0.04
02/01/2020 07:00,PJM,61847,14.39,0.68,-0.15
02/01/2020 07:00,WEST,61752,13.68,0.08,-0.04
02/01/2020 08:00,CAPITL,61757,14.83,1.03,0
02/01/2020 08:00,CENTRL,61754,14.08,0.29,0
02/01/2020 08:00,DUNWOD,61760,15.38,1.59,0
02/01/2020 08:00,GENESE,61753,13.78,-0.01,0
02/01/2020 08:00,H Q,61844,13.35,-0.44,0
02/01/2020 08:00,HUD VL,61758,15.13,1.34,0
02/01/2020 08:00,LONGIL,61762,21.47,2.15,-5.52
02/01/2020 08:00,MHK VL,61756,14.25,0.45,0
02/01/2020 08:00,MILLWD,61759,15.28,1.49,0
02/01/2020 08:00,N.Y.C.,61761,15.57,1.77,-0.02
02/01/2020 08:00,NORTH,61755,13.28,-0.51,0
02/01/2020 08:00,NPX,61845,18.63,1.42,-3.42
02/01/2020 08:00,O H,61846,13.53,-0.26,0
02/01/2020 08:00,PJM,61847,14.59,0.8,0
02/01/2020 08:00,WEST,61752,13.98,0.19,0
02/01/2020 09:00,CAPITL,61757,16.87,1.16,0
02/01/2020 09:00,CENTRL,61754,16.02,0.31,0
02/01/2020 09:00,DUNWOD,61760,17.59,1.88,0
02/01/2020 09:00,GENESE,61753,15.63,-0.08,0
02/01/2020 09:00,H Q,61844,15.2,-0.5,0
02/01/2020 09:00,HUD VL,61758,17.31,1.6,0
02/01/2020 09:00,LONGIL,61762,21.25,2.5,-3.05
02/01/2020 09:00,MHK VL,61756,16.26,0.55,0
02/01/2020 09:00,MILLWD,61759,17.48,1.77,0
02/01/2020 09:00,N.Y.C.,61761,17.8,2.07,-0.02
02/01/2020 09:00,NORTH,61755,15.13,-0.58,0
02/01/2020 09:00,NPX,61845,20.26,1.68,-2.87
02/01/2020 09:00,O H,61846,15.28,-0.42,0
02/01/2020 09:00,PJM,61847,16.59,0.88,0
